Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority
BR1 1AA,Yes,51.401546,0.015415,540291,168873,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2016-05-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,5,E01000675,
BR1 1AB,Yes,51.406333,0.015208,540262,169405,TQ402694,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2012-03-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71,4,E01000676,
BR1 1AD,Yes,51.400057,0.016715,540386,168710,TQ403687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2014-09-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,53,5,E01000675,
BR1 1AE,Yes,51.404543,0.014195,540197,169204,TQ401692,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2008-08-01,,"","",34,21,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,71,4,E01000677,
BR1 1AF,Yes,51.401392,0.014948,540259,168855,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2015-05-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,58,5,E01000675,
BR1 1AG,Yes,51.401392,0.014948,540259,168855,TQ402688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2015-09-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,58,5,E01000675,
BR1 1AJ,Yes,51.400489,0.018833,540532,168762,TQ405687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2016-04-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,55,5,E01000675,
BR1 1BQ,Yes,51.408057,0.015874,540303,169598,TQ403695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2002-07-01,,"","",38,37,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,
BR1 1BW,Yes,51.398997,0.016165,540351,168591,TQ403685,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2008-01-01,,"","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,49,5,E01000670,
BR1 1BY,Yes,51.408116,0.010872,539955,169595,TQ399695,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,
BR1 1DD,Yes,51.403891,0.016582,540365,169136,TQ403691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1992-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,5,E01000676,
BR1 1DE,Yes,51.408562,0.01059,539934,169644,TQ399696,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1984-02-01,,"","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,
BR1 1DG,Yes,51.409531,0.010172,539902,169751,TQ399697,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",1,1,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,72,4,E01000674,
BR1 1DJ,Yes,51.403891,0.016567,540364,169136,TQ403691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1992-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,68,5,E01000676,
BR1 1DL,Yes,51.409192,0.010042,539894,169713,TQ398697,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,
BR1 1DN,Yes,51.403891,0.016567,540364,169136,TQ403691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1992-01-01,,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,5,E01000676,
BR1 1DP,Yes,51.398997,0.016165,540351,168591,TQ403685,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1997-12-01,,"","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,49,5,E01000670,
BR1 1DS,Yes,51.399768,0.016271,540356,168677,TQ403686,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,49,5,E01000675,
BR1 1DU,Yes,51.398997,0.016165,540351,168591,TQ403685,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1998-12-01,,"","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,49,5,E01000670,
BR1 1EA,Yes,51.40041,0.01663,540379,168749,TQ403687,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",4,4,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,
BR1 1EG,Yes,51.401595,0.01569,540310,168879,TQ403688,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",14,6,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,63,5,E01000675,
BR1 1ER,Yes,51.399372,0.017878,540469,168636,TQ404686,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",2003-09-01,,"","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,51,5,E01000675,
BR1 1EW,Yes,51.40253,0.01517,540271,168982,TQ402689,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",3,2,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,66,5,E01000677,
BR1 1EX,Yes,51.403765,0.014448,540217,169118,TQ402691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1990-02-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,69,5,E01000677,
BR1 1EY,Yes,51.403002,0.014932,540253,169034,TQ402690,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,67,5,E01000677,
BR1 1EZ,Yes,51.404336,0.014761,540237,169182,TQ402691,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,72,5,E01000677,
